NAME,VERSION,REPO,HOMEPAGE,DESCRIPTION
gnu-netcat,0.7.1-1,main,,"GNU rewrite of netcat, the network piping application"
gnupg,2.3.7-1,main,,"GNU's tool for secure communication and data storage"
gnustep-base,1.28.0-1,main,,"The GNUstep base package"
gnustep-make,2.9.0-1,main,,"The GNUstep make package"
gnutls-32,3.7.7-1,multilib,,"Libraries and userspace tools which provide a secure layer over a reliable transport layer"
gnutls,3.7.7-1,main,,"Libraries and userspace tools which provide a secure layer over a reliable transport layer"
go,1.18.5-1,main,,"The Go Programming Language"
gobject-introspection,1.72.0-1,main,,"Used to describe the program APIs and collect them in a uniform, machine readable format"
goffice,0.10.52-1,main,,"goffice "
go-md2man,2.0.2-1,main,https://github.com/cpuguy83/go-md2man,"Utility to convert markdown to man pages"
google-chrome,103.0.5060.114-1,nonfree,,"An attempt at creating a safer, faster, and more stable browser (Stable Channel)"
gparted,1.4.0-1,main,,"Gtk 2 GUI for other command line tools that can create, reorganise or delete disk partitions"
gperf,3.1-1,main,,"Generates a perfect hash function from a key set"
gpgme,1.17.1-1,main,,"C library that allows cryptography support to be added to a program"
gpick,0.2.6-1,main,,"Color Picker"
gpicview,0.2.5-1,main,,"Lightweight image viewer"
gpm,1.20.7-4,main,,"Mouse server for the console and xterm"
gptfdisk,1.0.9-1,main,,"A text-mode partitioning tool that works on GUID Partition Table (GPT) disks"
grantlee,5.2.0-1,main,,"Free software libraries written using the Qt framework"
graphene,1.10.8-1,main,,"A thin layer of graphic data types"
graphite2,1.3.14-1,main,,"Rendering engine for graphite fonts"
graphviz,5.0.0-1,main,,"Graph visualization software"
grep,3.7-1,main,,"Programs for searching through files"
groff,1.22.4-1,main,,"Programs for processing and formatting text"
grsync,1.3.0-1,main,,"GTK+ GUI for rsync to synchronize folders, files and make backups"
grub,2.06-2,main,,"The GRand Unified Bootloader"
grub-efi,2.06-1,main,,"The GRand Unified Bootloader (EFI)"
gsettings-desktop-schemas,42.0-1,main,,"Collection of GSettings schemas for settings shared by various components of a GNOME Desktop"
gsl,2.7.1-1,main,,"Numerical library for C and C++ programmers"
gspell,1.8.4-1,main,https://wiki.gnome.org/Projects/gspell,"A flexible API to implement the spell checking in a GTK+ application"
gst-libav,1.20.3-1,main,,"GStreamer plugins for Libav (a fork of FFmpeg)"
gst-plugins-bad,1.20.3-1,main,,"Set of plug-ins that aren't up to par compared to the rest"
gst-plugins-base,1.20.3-1,main,,"Well-groomed and well-maintained collection of GStreamer plug-ins and elements"
gst-plugins-base-32,1.20.3-1,multilib,,"Well-groomed and well-maintained collection of GStreamer plug-ins and elements"
gst-plugins-good,1.20.3-1,main,,"A set of plug-ins considered by the GStreamer developers to have good quality code, correct functionality, and the preferred license"
